id,place_id,created,title,type,multiple_selections,minimum_selections,maximum_selections,index,created_datetime
449650,436121,1699454934,Pomfrit Size,Optional,0,1,1,3,2023-11-08T16:48:54
478289,429123,1700473584,Size 1,Optional,0,1,2,0,2023-11-20T11:46:24
478341,429123,1700473773,Alm fadoel,Optional,0,1,1,1,2023-11-20T11:49:33
478357,429123,1700474202,Grimbergen,Optional,0,1,1,2,2023-11-20T11:56:42
478363,429123,1700474319,Oel 60,Optional,0,1,1,3,2023-11-20T11:58:39
478369,429123,1700474438,Hvidvin sauvignon blanc,Optional,1,1,1,4,2023-11-20T12:00:38
478372,429123,1700474526,Chardonnay saint-peyre,Optional,0,1,1,5,2023-11-20T12:02:06
478375,429123,1700474620,Grüner veltliner,Optional,0,1,1,6,2023-11-20T12:03:40
478381,429123,1700474686,Pinot Gris og riesling,Optional,0,1,1,7,2023-11-20T12:04:46
478385,429123,1700475139,Rose Vin pellehaut,Optional,0,1,1,8,2023-11-20T12:12:19
505940,478851,1701275798,Med,Optional,0,1,1,1,2023-11-29T18:36:38
505956,478851,1701275903,Extra,Optional,0,0,1,2,2023-11-29T18:38:23
505990,478851,1701276088,Choice,Optional,0,1,1,5,2023-11-29T18:41:28
617025,582640,1703676377,Add Ons,Optional,1,1,3,0,2023-12-27T13:26:17
617026,582640,1703676377,Burgere Menu Choice,Optional,1,1,1,1,2023-12-27T13:26:17
622746,615877,1703756139,Sides,Optional,0,1,1,0,2023-12-28T11:35:39
630083,599346,1703848243,"+20,-",Optional,0,1,1,0,2023-12-29T13:10:43
638496,535138,1703927470,Tilbehør,Optional,0,0,37,0,2023-12-30T11:11:10
638497,535138,1703927470,Ekstra Tilbehør,Optional,0,0,25,1,2023-12-30T11:11:10
638498,535138,1703927470,Drink Choice,Optional,0,1,1,2,2023-12-30T11:11:10
638499,535138,1703927470,Alm Ekstra Tilbehør,Optional,0,0,37,3,2023-12-30T11:11:10
638500,535138,1703927470,Deep Pan Ekstra Tilbehør,Optional,0,0,36,4,2023-12-30T11:11:10
638501,535138,1703927470,Fam Ekstra Tilbehør,Optional,0,0,36,5,2023-12-30T11:11:10
638502,535138,1703927470,Durum Choice,Optional,0,0,9,6,2023-12-30T11:11:10
638503,535138,1703927470,Specialiteter Tilbehør,Optional,0,0,6,7,2023-12-30T11:11:10
638504,535138,1703927470,Pitabrød Choice,Optional,0,0,5,8,2023-12-30T11:11:10
638505,535138,1703927470,Grillmad Tilbehør,Optional,0,1,1,9,2023-12-30T11:11:10
638506,535138,1703927470,Size 1,Optional,0,1,1,10,2023-12-30T11:11:10
638507,535138,1703927470,Size 2,Optional,0,1,1,11,2023-12-30T11:11:10
638508,535138,1703927470,Size 3,Optional,0,1,1,12,2023-12-30T11:11:10
638509,535138,1703927470,Size 4,Optional,0,1,1,13,2023-12-30T11:11:10
638510,535138,1703927470,Size 5,Optional,0,1,1,14,2023-12-30T11:11:10
638511,535138,1703927470,Size 6,Optional,0,1,1,15,2023-12-30T11:11:10
638512,535138,1703927470,Size 7,Optional,0,1,1,16,2023-12-30T11:11:10
638513,535138,1703927470,Size 8,Optional,0,1,1,17,2023-12-30T11:11:10
638514,535138,1703927470,Size 9,Optional,0,1,1,18,2023-12-30T11:11:10
638515,535138,1703927470,Size 10,Optional,0,1,1,19,2023-12-30T11:11:10
648888,591944,1704081609,Burger Ekstras,Optional,1,1,10,0,2024-01-01T06:00:09
648889,591944,1704081609,Dressing Choice,Optional,1,1,10,1,2024-01-01T06:00:09
656650,498629,1704185733,Valg af bolle,Optional,0,1,1,0,2024-01-02T10:55:33
656651,498629,1704185733,Ekstras,Optional,0,0,3,1,2024-01-02T10:55:33
656658,498629,1704185733,Tilvalg,Optional,0,0,1,8,2024-01-02T10:55:33
656659,498629,1704185733,Peanutbutter,Optional,0,0,1,9,2024-01-02T10:55:33
780872,582411,1704870085,Bagel Brød,Optional,0,1,1,0,2024-01-10T09:01:25
780873,582411,1704870085,Smørelse,Optional,0,1,1,1,2024-01-10T09:01:25
780874,582411,1704870085,Protein,Optional,0,1,1,2,2024-01-10T09:01:25
780875,582411,1704870085,Ekstra Protein,Optional,0,0,3,3,2024-01-10T09:01:25
780876,582411,1704870085,Tilbehør,Optional,0,0,3,4,2024-01-10T09:01:25
780877,582411,1704870085,Dressing,Optional,0,1,1,5,2024-01-10T09:01:25
780878,582411,1704870085,Tilføj Sodavand,Optional,0,0,3,6,2024-01-10T09:01:25
780879,582411,1704870085,Sandwich Brød,Optional,0,1,1,7,2024-01-10T09:01:25
780880,582411,1704870085,Salat Brød,Optional,0,1,1,8,2024-01-10T09:01:25
786353,327349,1704890100,Extra toppings,Optional,1,1,10,0,2024-01-10T14:35:00
788594,595624,1704896160,Vælg Pizzabund,Optional,0,1,1,0,2024-01-10T16:16:00
788595,595624,1704896160,"Alm, Deep Pan Eksra Toppings",Optional,0,0,38,1,2024-01-10T16:16:00
788596,595624,1704896160,Fam Eksra Toppings,Optional,0,0,38,2,2024-01-10T16:16:00
788597,595624,1704896160,Size 1,Optional,0,1,1,3,2024-01-10T16:16:00
788598,595624,1704896160,Protein Choice,Optional,0,1,1,4,2024-01-10T16:16:00
788599,595624,1704896160,Size 4,Optional,0,1,1,5,2024-01-10T16:16:00
788600,595624,1704896160,Durum Rulle Choice,Optional,0,1,1,6,2024-01-10T16:16:00
788601,595624,1704896160,Burritos Choice,Optional,0,1,1,7,2024-01-10T16:16:00
788602,595624,1704896160,Nachos Choice,Optional,0,1,1,8,2024-01-10T16:16:00
788603,595624,1704896160,Børne Choice,Optional,0,1,1,9,2024-01-10T16:16:00
788604,595624,1704896160,Børne Grill,Optional,0,1,1,10,2024-01-10T16:16:00
788605,595624,1704896160,Size 2,Optional,0,1,1,11,2024-01-10T16:16:00
788606,595624,1704896160,Size 3,Optional,0,1,1,12,2024-01-10T16:16:00
