id,place_id,created,title,type,created_datetime
317223,316229,1689258531,Drikkevarer,Normal,2023-07-13T17:28:51
317224,316229,1689258531,Mest brugte,Normal,2023-07-13T17:28:51
339316,316229,1692775958,Bus,Normal,2023-08-23T10:32:38
400413,400381,1697107546,Unspecified,Normal,2023-10-12T13:45:46
401317,381603,1697181667,Unspecified,Normal,2023-10-13T10:21:07
417151,417137,1698134513,Unspecified,Normal,2023-10-24T11:01:53
420716,420705,1698310100,Unspecified,Normal,2023-10-26T11:48:20
420838,420825,1698314970,Buffet,Normal,2023-10-26T13:09:30
428927,428910,1698656604,Gavekort,Normal,2023-10-30T11:03:24
429046,381603,1698660045,Burger & Sandwich,Normal,2023-10-30T12:00:45
429047,381603,1698660075,Menuer,Normal,2023-10-30T12:01:15
429048,381603,1698660086,Div. Mad,Normal,2023-10-30T12:01:26
429049,381603,1698660098,Kolde Drikke,Normal,2023-10-30T12:01:38
429050,381603,1698660112,Alkohol,Normal,2023-10-30T12:01:52
429051,381603,1698660133,Varme Drikke,Normal,2023-10-30T12:02:13
429052,381603,1698660150,Andet alkohol,Normal,2023-10-30T12:02:30
429053,381603,1698660160,Kiosk,Normal,2023-10-30T12:02:40
429054,381603,1698660179,Kager & Boller,Normal,2023-10-30T12:02:59
436256,436227,1698928530,Hovedmenu,Normal,2023-11-02T14:35:30
437734,433211,1698994153,Cafe,Normal,2023-11-03T08:49:13
438131,438114,1699006920,Unspecified,Normal,2023-11-03T12:22:00
438249,438235,1699009980,Mad,Normal,2023-11-03T13:13:00
440049,438114,1699077986,Pizza 1,Normal,2023-11-04T08:06:26
440050,438114,1699078033,Pizza 2,Normal,2023-11-04T08:07:13
440051,438114,1699078042,Pizza 3,Normal,2023-11-04T08:07:22
440052,438114,1699078059,Salat Pizza,Normal,2023-11-04T08:07:39
440053,438114,1699078074,Deluxe Pizza,Normal,2023-11-04T08:07:54
440054,438114,1699078118,Hollandske Pizza,Normal,2023-11-04T08:08:38
440055,438114,1699078180,Indbegte Pizza,Normal,2023-11-04T08:09:40
440056,438114,1699078217,Halvindbagte Pizza,Normal,2023-11-04T08:10:17
440057,438114,1699078257,Børne Pizza,Normal,2023-11-04T08:10:57
440058,438114,1699078297,Pizza Sandwich,Normal,2023-11-04T08:11:37
440059,438114,1699078315,Durumrulle,Normal,2023-11-04T08:11:55
440060,438114,1699078373,Hjemmelavet Pitabrød,Normal,2023-11-04T08:12:53
440061,438114,1699078400,Gusto's Special Sandwich,Normal,2023-11-04T08:13:20
440135,438114,1699082074,Pastaretter,Normal,2023-11-04T09:14:34
440144,438114,1699082713,Burger,Normal,2023-11-04T09:25:13
440254,438114,1699087739,Grill,Normal,2023-11-04T10:48:59
440364,438114,1699091047,Bagels,Normal,2023-11-04T11:44:07
440375,438114,1699091338,Ekstra Tilbehør,Normal,2023-11-04T11:48:58
440630,438114,1699097602,Drikkevarer,Normal,2023-11-04T13:33:22
444624,444585,1699256597,Bowtech-Akupunktur klinik,Normal,2023-11-06T09:43:17
447118,447096,1699359744,Frokost,Normal,2023-11-07T14:22:24
448502,444585,1699418634,Salon Naomi,Normal,2023-11-08T06:43:54
449675,352695,1699455477,Morgenbrød,Normal,2023-11-08T16:57:57
449676,352695,1699455489,Kager Små,Normal,2023-11-08T16:58:09
453689,453680,1699608953,Unspecified,Normal,2023-11-10T11:35:53
460525,420705,1699885600,Frokost Menu,Normal,2023-11-13T16:26:40
460530,420705,1699885727,Forretter,Normal,2023-11-13T16:28:47
460535,420705,1699885757,Sticks,Normal,2023-11-13T16:29:17
460542,420705,1699885897,Varme Retter,Normal,2023-11-13T16:31:37
460555,420705,1699886012,Menuer 1P,Normal,2023-11-13T16:33:32
460556,420705,1699886037,Menuer 2-4P,Normal,2023-11-13T16:33:57
460558,420705,1699886070,Nigiri,Normal,2023-11-13T16:34:30
460559,420705,1699886095,Inside-Out,Normal,2023-11-13T16:34:55
460560,420705,1699886127,Kaburi,Normal,2023-11-13T16:35:27
460561,420705,1699886165,Stor-Maki,Normal,2023-11-13T16:36:05
460566,420705,1699886199,Små-maki,Normal,2023-11-13T16:36:39
460567,420705,1699886226,Ekstra,Normal,2023-11-13T16:37:06
460568,420705,1699886248,Drikkevarer,Normal,2023-11-13T16:37:28
465341,465308,1700055551,Unspecified,Normal,2023-11-15T15:39:11
468434,453680,1700145160,Sodas,Normal,2023-11-16T16:32:40
468436,453680,1700145179,Water,Normal,2023-11-16T16:32:59
468437,453680,1700145190,Juices,Normal,2023-11-16T16:33:10
468438,453680,1700145202,Beer,Normal,2023-11-16T16:33:22
468439,453680,1700145212,Kaffe,Normal,2023-11-16T16:33:32
468440,453680,1700145220,Tea,Normal,2023-11-16T16:33:40
468445,453680,1700145263,Red Wine,Normal,2023-11-16T16:34:23
468446,453680,1700145275,White Wine,Normal,2023-11-16T16:34:35
468447,453680,1700145285,Rose Wine,Normal,2023-11-16T16:34:45
468448,453680,1700145293,Smorrebrod Retter,Normal,2023-11-16T16:34:53
468449,453680,1700145303,Morgenmad,Normal,2023-11-16T16:35:03
470449,453680,1700213130,X Others Cofs,Normal,2023-11-17T11:25:30
470636,453680,1700215389,Boller,Normal,2023-11-17T12:03:09
470637,453680,1700215400,Sandwiches,Normal,2023-11-17T12:03:20
470638,453680,1700215411,Wienerbrod,Normal,2023-11-17T12:03:31
470639,453680,1700215422,Cake,Normal,2023-11-17T12:03:42
470640,453680,1700215433,Brod,Normal,2023-11-17T12:03:53
470642,453680,1700215460,Poke Bowl,Normal,2023-11-17T12:04:20
471192,471184,1700223818,Unspecified,Normal,2023-11-17T14:23:38
471704,471663,1700233527,Unspecified,Normal,2023-11-17T17:05:27
474980,400381,1700319502,Kasseapparat,Normal,2023-11-18T16:58:22
478445,478433,1700477007,Unspecified,Normal,2023-11-20T12:43:27
480228,478433,1700556920,Pizza,Normal,2023-11-21T10:55:20
480229,478433,1700556947,Mexicanske Pizza,Normal,2023-11-21T10:55:47
480232,478433,1700556967,Pizza Sandwich,Normal,2023-11-21T10:56:07
480233,478433,1700556991,Forretter,Normal,2023-11-21T10:56:31
480234,478433,1700557017,Salataer,Normal,2023-11-21T10:56:57
480235,478433,1700557032,Burger,Normal,2023-11-21T10:57:12
480236,478433,1700557059,Pita Brød,Normal,2023-11-21T10:57:39
480238,478433,1700557079,Durum Rulle,Normal,2023-11-21T10:57:59
480239,478433,1700557113,Kødretter,Normal,2023-11-21T10:58:33
480240,478433,1700557130,Pasta retter,Normal,2023-11-21T10:58:50
480241,478433,1700557146,Sandwich,Normal,2023-11-21T10:59:06
480242,478433,1700557159,Nachos,Normal,2023-11-21T10:59:19
480243,478433,1700557176,Wrap,Normal,2023-11-21T10:59:36
480244,478433,1700557188,Fisk,Normal,2023-11-21T10:59:48
480245,478433,1700557218,Børne Menu,Normal,2023-11-21T11:00:18
480246,478433,1700557234,Diverse,Normal,2023-11-21T11:00:34
480247,478433,1700557250,Dessert,Normal,2023-11-21T11:00:50
480248,478433,1700557278,Kolde drikke,Normal,2023-11-21T11:01:18
481300,481284,1700574994,Unspecified,Normal,2023-11-21T15:56:34
483266,483245,1700646753,Lemonader,Normal,2023-11-22T11:52:33
495136,478433,1700991702,Ekstra Tilbehør,Normal,2023-11-26T11:41:42
498646,498629,1701091777,Unspecified,Normal,2023-11-27T15:29:37
498767,478433,1701093365,Frokost Retter,Normal,2023-11-27T15:56:05
498768,478433,1701093389,Frokost Pizza,Normal,2023-11-27T15:56:29
498925,478851,1701096172,Frokost Tilbud,Normal,2023-11-27T16:42:52
500218,483245,1701148940,Vin og Champagne På Glas (12 cl),Normal,2023-11-28T07:22:20
500219,483245,1701148948,Hvidvin,Normal,2023-11-28T07:22:28
500220,483245,1701148960,Rødvin,Normal,2023-11-28T07:22:40
500221,483245,1701148973,Non-Alcoholic,Normal,2023-11-28T07:22:53
