id,title,description,price,purchases,desc_length
59837,The Classic,"Burger with beyond meat patty, tomato, red onion, organic pickles, smoked cheese and homemade burger sauce",110.0,30.0,106
59838,The Rudimental,"Burger with baked portobello mushroom with garlic & thyme, roast aubergine, red onion marmelade, lightly pickled cucumbers, smoked cheese, lettuce and homemade green goddess sauce",110.0,1.0,179
59839,The Garden,"Burger with Celeriach (poached in stock), tomato chilli relish, lightly pickled cucumbers, fresh slaw, smoked cheese, lettuce and homemade green goddess sauce. Served with seasoned fries, fresh slaw with mint and your choice of double dip.",110.0,1.0,239
59843,The Double,"Feeling hungry? Double patty, double cheese, double the sauce. Double the fun",150.0,6.0,77
59859,"San Pelegrino 0,25 l",Danskevand,25.0,8.0,10
59860,Dominio Valor - Red,"Organic Vegan Red Wine,13% , 0,75l",200.0,0.0,34
59861,Dominio Valor - White,"Organic Vegan White Wine, 11%, 0,75l",200.0,0.0,36
59862,"Organic Pilsner 0,33 l",Beer to match your meal. Chefs choice.,35.0,2.0,38
59863,"Lemon, lime, Cucumber & Mint  (V,VG)",Homemade lemonade,35.0,3.0,17
59906,Oliven,Lækre friske oliven fra middelhavslande,29.0,23.0,39
59907,Polenta fritter med mayo,Sprøde og lækre majsfritter serveres med hjemmelavet mayo,49.0,36.0,57
59908,Nødder,"Cashew, mandler, peanuts",29.0,13.0,24
59909,Humus & brød,Vores hjemelavet homus. med hjemmebagt brød,49.0,12.0,43
59911,Artichoke,"Tomato sauce, cheese, grilled artichoke, olives and blanched spinach",0.0,197.0,68
59912,Broccolien,"Broccoli, kartoffel & soltørrede tomater",129.0,43.0,40
59913,Potatos,"Tomato sauce, cheese, potatoes, sweet potatoes and blue potatoes and rosemary",1.32,156.0,77
59914,Tofuen,"Røget tofu, fenikel & honning tomater",119.0,26.0,37
59915,Kejseren,"Kejserhatte, kartoffel & spinat",129.0,89.0,31
59916,Mushroom,"Tomato sauce, cheese, marinated portobello and oyster mushroom and truffle oil",139.0,132.0,78
59917,Sunny Hawaii,"Marineret tofu, grillet peberfrugt & ananas",129.0,96.0,43
59918,Kikærten,"Ristede kikærter, squash, syltede rødløg & tahindressing",139.0,23.0,56
59919,Auberginen,"Aubergine, squash & syltede rødløg",119.0,43.0,34
59920,Freestyle,Stol på pizzamesterens kreativitet,129.0,77.0,34
59921,Umamien,"Røg krydret seitan, porre stegt med soltørret tomat & ristede løg",119.0,137.0,65
59922,Den hvide,"Pizza uden tomat sauce & ost. Jordskokkepuré, rød og gule beder, & trøffelolie",125.0,17.0,78
59923,Focaccia,Med rosmarin & olivenolie,49.0,5.0,25
59924,Vilde ris salat,"Med tomater, rødløg, oliven og rucolasalat",89.0,8.0,42
59927,Sandwich,Med avokado eller svampe,0.0,24.0,24
59928,Sæsonens suppe,med brød,69.0,20.0,8
59929,Squash kage,Med vaniljecreme,30.0,18.0,16
59930,Choko mousse,Med vaniljecreme,39.0,1.0,16
59931,Cookies,Med nødder & chokolade,25.0,0.0,22
59933,Cheesecake,Blåbær & ananas/lime,40.0,8.0,20
59935,Margarita,"Tequila, Lime, sukkersirup & salt",85.0,12.0,33
59936,Blue Mojito,"Rom, blåbær, lime, mynte & blåbærsirup",85.0,27.0,38
59937,Pink Ginger,"Vodka, lime juice, rabarber sirup & ginger beer",85.0,22.0,47
59938,The Basil,"Gin, basilikum, citron juice & sukkersirup",85.0,5.0,42
59939,Espresso Martini,"Vodka, kahlúa & espressoshot",85.0,5.0,28
59946,Rødvin,Fra Rosforth & Rosforth,60.0,22.0,23
59949,Hvidvin,Fra Rosforth & Rosforth,60.0,20.0,23
59950,Rosé,Fra Rosforth & Rosforth,60.0,2.0,23
59955,Orangevin,Rosforth & Rosforth,70.0,7.0,19
59960,"Bæst, Fadøl",Pale Ale fra Kølster Bryggeri,45.0,71.0,29
59961,"Højsommer, Fadøl",Wheat beer fra Kølster Bryggeri,45.0,22.0,31
59962,"Trylledrik, Fadøl",IPA fra Kølster Bryggeri,45.0,18.0,24
59963,"Kornmod, Fadøl",Mørk Pilsner fra Kølster Bryggeri,45.0,12.0,33
59999,The Classic Meal,"Burger with beyond meat patty, lettuce, tomato, red onion, organic pickles, smoked cheese and homemade burger sauce. Served with seasoned fries, fresh slaw with mint and your choice of double dip.",160.0,58.0,196
60004,Fresh Slaw With Mint & Mango,"Organic carrots, pointed cabbage, pomegranate, Mango,fresh mint & homemade vinaigrette",40.0,6.0,86
60005,Smokey Barbecue Tofu,Deep fried smoked tofu strips with barbecue sauce and spring onions,60.0,2.0,67
60006,Homemade Green Goddess Sauce,Homemade Basil mayonnaise,20.0,1.0,25
60007,Homemade Real Chili Mayo,Homemade Chili Mayonnaise,20.0,8.0,25
60008,Homemade Burger Sauce,Homemade Burger Sauce,20.0,6.0,21
60009,"Chocolate Shake 0,3 (V,VG)",Organic Chocolate Nut - milkshake,50.0,3.0,33
60010,"Raspberry Lemonade 0,3l (V, VG)",Homemade raspberry & eldeflower lemonade,35.0,5.0,40
60018,The Kids Meal,"Burger with patty , burger sauce, lettuce, cheese - Choose you favourite patty be it classic, rudimental or garden,
Seasoned fries & Organic ketchup",110.0,1.0,148
60036,The Garden Meal,"Burger with Celeriac (poached in stock), tomato chilli relish, lightly pickled cucumbers, fresh slaw, smoked cheese, lettuce and homemade green goddess sauce.
Served with seasoned fries, fresh slaw with mint and your choice of double dip.",160.0,8.0,238
60037,The Rudimental Meal,"Burger with baked portobello mushroom with garlic & thyme, roast aubergine, red onion marmelade, lightly pickled cucumbers, smoked cheese, lettuce and homemade green goddess sauce.
Served with seasoned fries, fresh slaw with mint and your choice of double dip.",160.0,15.0,260
60067,Knækbrød,Dehydrerede knækbrød med grøntsagspuré,55.0,38.0,38
60460,Klassikeren,"Briochebolle, frisk tomat og syltede rødløg.
Alle vores burgere er pyntet med china rose-spirer og frisee salat",89.0,79.0,112
60465,Portobello,"Briochebolle, Portobello, Frisk Tomat
Alle vores burgere er pyntet med china rose-spirer og frisee salat",89.0,28.0,105
60480,Den Store Grillede,"Briochebolle, plantebøf, grillet peberfrugt, grillet  Portobello, Frisk Tomat og rødløgAlle vores burgere er pyntet med china rose-spirer og frisee salat. Yummy.",89.0,62.0,161
60708,"Mango Shake 0,3 l (V,VG)",Mango lassi with coconut cream,50.0,7.0,30
61329,"The Double Meal (V,VG)","Double the patty! Double the fun!
Choose which burger you would like to double up!",200.0,25.0,82
61460,"Vegan fun for 2 (V, VG)","Served with ris og chutney.
2 x vegan vegetable dishes,
2 x Daal,
2 x Samosa,
2 x Pappadum",240.0,4.0,90
61463,"Grøntsags duo (V, VG)","2 x Veganske grøntsagsretter
Serveres med valgfrit tilbehør.",80.0,2.0,60
61468,"Samosa (V, VG)","Fyld med blomkål, grønne ærter og masala. 2 stk Samosa.",40.0,0.0,55
61469,"Pudla (V, VG)",Indisk pandekageagtigt brød.,40.0,0.0,28
61470,"Papadum (1 stk) (V, VG, G)","Store, sprøde hvedemelschips.",12.0,0.0,29
61472,"Thepla (V, VG)","Indisk brød med gurkemeje, bukkehornblade, kommen frø og himalaya salt.",15.0,0.0,71
61473,"Pratha (V, VG)","Indisk brød med himalaya salt, olie og hvedemel.",15.0,0.0,48
61475,Kugleguf (V),"Kugler rullet i kokos lavet på havregryn, carobpulver, sukker og smør.",40.0,0.0,70
61476,Paysam,Indisk version af en risengrød med ris eller vermicellinudler. Toppes med nødder.,45.0,0.0,81
61480,Mango Lassi (V),Kan laves vegansk.,25.0,0.0,18
61483,Banan og Vanilje Lassi (V),Kan laves vegansk.,25.0,0.0,18
61492,"Victorian Lemonade 0,275 l",Med brus,25.0,0.0,8
61493,"Rose Lemonade 0,275 l",Med brus,25.0,0.0,8
61494,"Wild English Elderflower 0,275 l",Med brus,25.0,0.0,8
61498,Gurkemeje Latté (V),Kan laves vegansk.,25.0,0.0,18
61501,"Ginger Boost (V, VG)","Frisklavet ingefær booster som fremmer immunsforsvaret lavet på ingefær, lime og citron..",25.0,0.0,89
61508,Pukka Te,selv og smag.,25.0,0.0,13
61550,"The Real Deal Meal (V,VG)","Beyond Meat Patty,Lettuce,Smokey Barbecue Tofu, Grilled Red Onion, Lightly Pickled Cucumber, Barbecue And Smoked Chill Sauce
Served with seasoned fries, fresh slaw with mint and your choice of XL dip.",170.0,1.0,200
61589,The Real Deal (V.VG),"Burger Of The Month
Beyond Meat Patty, Lettuce, Smokey Barbecue Tofu, Grilled Red Onion, Lightly Pickled Cucumber, Barbecue And Smoked Chill Sauce",120.0,2.0,146
61591,"The Classic Bowl (V,VG)","Beyond Meat patty, lettuce, salsa, pickles, tomato chilli relish, garlic sprouts, fresh slaw with mint and mango",120.0,0.0,112
61592,"The Rudimental Bowl (V,VG)","Portobello mushroom with garlic and thyme, roast aubergine, red onion marmalade, lettuce, salsa, lightly pickled cucumber, garlic sprouts, fresh slaw with mint and mango",120.0,0.0,169
61593,"The Garden Bowl (V,VG)","Celeriac, lettuce, salsa, tomato chilli relish, lightly pickled cucumber, garlic sprouts, fresh slaw with mint and mango",120.0,0.0,120
61725,3 Bao Combo,Mix and match your favourite Bao,145.0,15.0,32
61726,Vegetar Combo (V),"1 x Bao (VG), 1 x Side (VG) og 1 x Bowl (V eller VG)",200.0,3.0,52
61733,Classic Pork Bao,"Langtidsstegt svinemave med syltet agurk, peanuts og koriander.",50.0,0.0,63
61734,Bulgogi Beef Bao,"BBQ beef slices med løg, sesamfrø og salatblade.",50.0,1.0,48
61735,Crispy Chicken Bao,Marineret og friteret kyllingebryst med husets sauce og coleslaw.,50.0,0.0,65
61736,Vegan Bao (V),Tre forskellige slags svampe sauteret med hvidløg og hjemmelavet sauce.,50.0,0.0,71
61737,Shrimp Fry Bao,"Dybstegt reje med kål, tang og hjemmelavet tartarsauce.",50.0,0.0,55
61738,Tornado Pork Bao,Speciel hjemmegrillet svinekød med chilisauce og coleslaw.,50.0,0.0,58
61739,Teriyaki Duck Bao,"Andebryst med agurk, forårsløg og teriyaki sauce.",50.0,0.0,49
61740,Morsel Signature Noodle Bowl (V),"Wuhan Style wheat noodle with pickled veggie, cabbage, carrots, cucumbers & peanut sesame mix sauce",98.0,4.0,99
61746,Fried Chicken Rice Bowl,"Jasmine Rice with fried chicken, pickled veggie, cabbage, selected veggie and teriyaki sauce",118.0,5.0,92
61747,Teriyaki Duck Rice Bowl,"Jasmin Rice with grilled duck, pickled veggie, cucumber,, cabbage & Teriyaki sauce",128.0,1.0,82
61748,"Boring Edamame (V, VG)",Saltede edamamebønner,48.0,0.0,21
61749,"Interesting edamame (V, VG)",Chinese Lao Gan Ma Chilli + Lemonsoya,48.0,0.0,37
61750,Golden Wonton (3 stk),Hjemmelavede kyllingewonton med citronsoya og chilipeber.,48.0,2.0,57
61751,Golden Wonton (5 stk),Hjemmelavede kyllingewonton med citronsoya og chilipeber.,68.0,0.0,57
61752,Gyoza (6 stk),Pande-stegt japansk kyllingedumpling med citronsoya.,68.0,2.0,52
61753,"Vegan Gyoza (6 stk) (V, VG)",Pande-stegt japansk dumpling med 5 grøntsager og citronsoya.,68.0,0.0,60
61754,Shrimp Tempura (3 stk),Sprød reje med tartar sauce.,48.0,2.0,28
61755,Bao Buns (1 stk),Hjemmelavede dampede bao boller.,15.0,0.0,32
61756,Morsel Nuggets (6 stk),"Signature Morsel Chicken Nuggets with a touch of salt, served with chilimayo.",48.0,2.0,77
61757,Morsel Nuggets (10 stk),"Signature Morsel Chicken Nuggets with a touch of salt, served with chilimayo.",68.0,0.0,77
61762,"Bubble Tea 0,3 l",Med tapioca perler.,40.0,0.0,19
61763,"Lychee Paradise 0,3 l",Med lime og mynte.,35.0,0.0,18
61767,"Heated Seats 4,9% 0,33 l","From Mikkeller beer.
A hazy, sun-struck American Pale with an aroma of lemon, melon and pineapple. Flavors of citrus and stone fruit.",40.0,0.0,133
61768,"Hallo Ich Bin Raspberry 3,7% 0,33 l",One of Mikkeller’s top sellers. This Berliner Weisse is locked and loaded with an abundance of raspberries.,35.0,0.0,107
61769,"Iskold Classic 5,6% 0,5 l","This classic Vienna lager packs rich aromas of cereal, malt and honey. Tasty balances soft sweetness from malt with a refreshing assertive bitterness, medium body, soft carbonation.",40.0,0.0,181
61770,"Japanese Rice Lager 5,1% 0,5 l","Very refreshing clean lager, aromas of citrus and hay. Crisp, clean and easy drinking.",40.0,0.0,86
61771,"Sapporo 4,7% 0,33 l",oldest beer brand from japan,40.0,0.0,28
61773,"Iki Ginger Beer 5,5% 0,33 l",ginger beer with green tea flavour,30.0,0.0,34
61835,3 Course Menu,"Suitable for 1 hungry person.
1 x Bao, 1 x lille ret og 1 x Bowl",190.0,5.0,64
61836,"Tsingtao 5.0% 0,33L",authentic chinese beer,30.0,0.0,22
61904,"The Duo Menu (V,VG)",2 x Vegetable dish of the day with rice,80.0,1.0,39
61908,"The Full Duo Menu (V, VG)","2 x vegetable dishes of the day with rice, soup and bread",100.0,0.0,57
61915,Soup,Soup of the day with Papadum,40.0,0.0,28
61921,Superjuice,false,0.0,17.0,5
61987,FROKOST: Mellem Salat,Gælder hverdage kl. 11-15: - Bland op til 3 slags salater,59.0,0.0,57
61989,Kylling Combo 1,"1 x Valgfrie Kylling,
1 x Valgfrie kartofler",69.0,3.0,44
62001,Kylling og kalvebacon,"Med salat, tomat, agurk, løg, jalapenos og karrydressing",55.0,0.0,56
62002,Den græske,"Lun kyllingefilet, tzatziki",59.0,3.0,27
62003,Kylling Combo 2,"1 x Valgfrie Kylling, 
3 x Salater",89.0,4.0,34
62006,Den italienske,"Lun kyllingefilet, mozzarella, soltørrede tomater, pesto",59.0,1.0,56
62007,Tunmousse,Hjemmerørt tunmousse,59.0,1.0,20
62008,Kylling og avocado,"Lun kyllingefilet, rucola, avocado, mozzarella",59.0,1.0,46
62029,Kylling Combo 3,"1 x Valgfrie kylling 
1 x Valgfrie kartofler 
2 x Salater",99.0,3.0,57
62032,Ovnstegte kartofler,Vælg mellem lille og stor.,44.0,1.0,26
62036,Flødekartofler,Vælg mellem lille og stor.,44.0,2.0,26
62040,Lille salat,Bland op til 2 slags salater,49.0,1.0,28
62041,Mellem salat,Bland op til 3 slags salater,65.0,0.0,28
62042,Stor salat,Bland op til 5 slags salater,94.0,0.0,28
62232,FROKOST: Sandwich,Gælder hverdage kl. 11-15: Valgfri Sandwich,54.0,86.0,43
62235,Menu 1,"Hel grillkylling, 5 slags salater",179.0,0.0,33
62236,Menu 2,"Hel grillkylling, 5 slags salater, Stor valgfri kartofler",229.0,0.0,57
62237,Menu 3,"6 stk. Kyllingspyd, 5 slags salater, stor valgfri kartofler",259.0,0.0,59
62306,Papadum (3 stk.),Store let krydrede chips af kikærtemel med dip,28.0,18.0,46
62307,Samosa (2 stk.),"Friturestegt indbagt butterdej med fyld af let krydret kartofler, jordnødder og ærter, serveret med salat",47.0,3.0,105
62308,Chicken pakora (4 stk.),Tandoori kyllingestykke vendt i kikærtemel,49.0,2.0,42
62309,Fish Pakora (4 stk.),Tandoori kyllingestykke vendt i kikærtemel,59.0,0.0,42
62310,Chana chat,"Kikærter, kartofler, løg, agurker, tomater og citronsaft blandt med husets specielle krydderier og yogurt (serveres kold)",49.0,0.0,121
62311,Chicken chat,"Kylling stykker, kartofler, løg, tomater, peberfrugter og citronsaft blandt med krydderier (serveres kold)",59.0,1.0,106
62312,Shrimp chat,"Rejer, Kartofler, løg, tomater og speceial huset krydderiblanding (serveres kold)",69.0,1.0,81
62314,Onion bhaji (4 stk.),Dybstegt løg med krydret kikærtemel,49.0,0.0,35
62315,Vegetable pakora (6 stk.),Dybstegt blomkål med krydret kikærtemel,59.0,0.0,39
62316,King prawn pakora (6 stk.),Kina rejer dybstegt i krydret kikærtemel,69.0,0.0,40
62317,Tandoori chicken,"Kylling marineret i yoghurt, tilsat tandoori krydderi og stegt i ovnen",69.0,0.0,70
62318,Seekh kebab,Hakket lamme og oksekødskebab serveres med salat og mint chutney,69.0,1.0,64
62319,Kalmi kebab (2 stk.),"Ovnstegt kyllingelår marineret i yogurt, cashew nødder og let krydret",79.0,0.0,69
62320,Pani puri (10 stk.),"Kendt Indisk street food, sprødt brødt fyldt med krydret kartoffelmos og hvide ærter serveret med special mint vand",59.0,0.0,115
62323,Tomato soup,Hjemmelavet krydret tomatsuppe,49.0,0.0,30
62324,Daal soup,Toor daal soup,49.0,0.0,14
62325,Chicken soup,Kylllinge suppe let krydret med kyllingkød stykker,59.0,0.0,50
62326,Daal garam masala,"Sorte linser, kidneybønner og kikærter, let krydret med piskefløde",119.0,0.0,66
62330,Paneer chana masala,"Kikærter med hjemmelavet ost, tomat, løg og sauce",99.0,1.0,49
62331,Navaratan shahi korma,"Friske grøntsager med smør, yoghurt, kokos, mandler og rosiner i creamy sauce",105.0,0.0,77
62332,Aloo gobi,"Kartofler og blomkål med løg, tomater, hvidløg og ingefær",99.0,0.0,57
62333,Malay kofta,"Kartofler med hjemmelavet ost, rosiner, nødder tilberedt i en creamy sauce med smør",99.0,0.0,83
62334,Bhindi masala,"Stegt okram med løg, tomater og krydderier",105.0,1.0,42
