item_id,item_name,profit,profit_share
59838,The Rudimental,110.0,1.601680730418997e-07
59839,The Garden,110.0,1.601680730418997e-07
59856,"Coca Cola 0,33 l",0.0,0.0
59857,"Coca Cola Zero 0,33 l",0.0,0.0
59858,"Still Water 0,5 l",0.0,0.0
59859,"San Pelegrino 0,25 l",200.0,2.9121467825799946e-07
59860,Dominio Valor - Red,0.0,0.0
59861,Dominio Valor - White,0.0,0.0
59862,"Organic Pilsner 0,33 l",70.0,1.0192513739029981e-07
59863,"Lemon, lime, Cucumber & Mint  (V,VG)",105.0,1.5288770608544972e-07
59923,Focaccia,245.0,3.5673798086604935e-07
59930,Choko mousse,39.0,5.6786862260309894e-08
59931,Cookies,0.0,0.0
59932,Snickerskage,350.0,5.096256869514991e-07
59933,Cheesecake,320.0,4.659434852127991e-07
59938,The Basil,425.0,6.188311912982488e-07
59939,Espresso Martini,425.0,6.188311912982488e-07
59941,White Russian,0.0,0.0
59950,Rosé,120.0,1.747288069547997e-07
59955,Orangevin,490.0,7.134759617320987e-07
59958,Bobler (cremant),280.0,4.0770054956119925e-07
60003,Seasoned Fries + Double Dip,275.0,4.004201826047493e-07
60004,Fresh Slaw With Mint & Mango,240.0,3.494576139095994e-07
60005,Smokey Barbecue Tofu,120.0,1.747288069547997e-07
60006,Homemade Green Goddess Sauce,20.0,2.9121467825799945e-08
60007,Homemade Real Chili Mayo,160.0,2.3297174260639956e-07
60008,Homemade Burger Sauce,120.0,1.747288069547997e-07
60009,"Chocolate Shake 0,3 (V,VG)",150.0,2.184110086934996e-07
60010,"Raspberry Lemonade 0,3l (V, VG)",175.0,2.5481284347574953e-07
60018,The Kids Meal,110.0,1.601680730418997e-07
60708,"Mango Shake 0,3 l (V,VG)",350.0,5.096256869514991e-07
61463,"Grøntsags duo (V, VG)",160.0,2.3297174260639956e-07
61466,"Pakora (V, VG)",0.0,0.0
61468,"Samosa (V, VG)",0.0,0.0
61469,"Pudla (V, VG)",0.0,0.0
61470,"Papadum (1 stk) (V, VG, G)",0.0,0.0
61472,"Thepla (V, VG)",0.0,0.0
61473,"Pratha (V, VG)",0.0,0.0
61475,Kugleguf (V),0.0,0.0
61476,Paysam,0.0,0.0
61480,Mango Lassi (V),0.0,0.0
61483,Banan og Vanilje Lassi (V),0.0,0.0
61485,"Naturfrisk Cola 0,25 l",0.0,0.0
61486,"Naturfrisk Æblebrus 0,25 l",0.0,0.0
61487,"Naturfrisk Myntebrus 0,25 l",0.0,0.0
61488,"Naturfrisk Hyldebrus 0,25 l",0.0,0.0
61489,"Naturfrisk Hindbærbrus 0,25 l",0.0,0.0
61490,"Naturfrisk Ginger Ale 0,25 l",0.0,0.0
61492,"Victorian Lemonade 0,275 l",0.0,0.0
61493,"Rose Lemonade 0,275 l",0.0,0.0
61494,"Wild English Elderflower 0,275 l",0.0,0.0
61498,Gurkemeje Latté (V),0.0,0.0
61501,"Ginger Boost (V, VG)",0.0,0.0
61508,Pukka Te,0.0,0.0
61550,"The Real Deal Meal (V,VG)",170.0,2.4753247651929957e-07
61589,The Real Deal (V.VG),240.0,3.494576139095994e-07
61591,"The Classic Bowl (V,VG)",0.0,0.0
61592,"The Rudimental Bowl (V,VG)",0.0,0.0
61593,"The Garden Bowl (V,VG)",0.0,0.0
61733,Classic Pork Bao,0.0,0.0
61734,Bulgogi Beef Bao,50.0,7.280366956449987e-08
61735,Crispy Chicken Bao,0.0,0.0
61736,Vegan Bao (V),0.0,0.0
61737,Shrimp Fry Bao,0.0,0.0
61738,Tornado Pork Bao,0.0,0.0
61739,Teriyaki Duck Bao,0.0,0.0
61740,Morsel Signature Noodle Bowl (V),392.0,5.70780769385679e-07
61747,Teriyaki Duck Rice Bowl,128.0,1.8637739408511967e-07
61748,"Boring Edamame (V, VG)",0.0,0.0
61749,"Interesting edamame (V, VG)",0.0,0.0
61750,Golden Wonton (3 stk),96.0,1.3978304556383974e-07
61751,Golden Wonton (5 stk),0.0,0.0
61752,Gyoza (6 stk),136.0,1.9802598121543964e-07
61753,"Vegan Gyoza (6 stk) (V, VG)",0.0,0.0
61754,Shrimp Tempura (3 stk),96.0,1.3978304556383974e-07
61755,Bao Buns (1 stk),0.0,0.0
61756,Morsel Nuggets (6 stk),96.0,1.3978304556383974e-07
61757,Morsel Nuggets (10 stk),0.0,0.0
61758,Tartarsauce,0.0,0.0
61759,Chilimayo,0.0,0.0
61760,Lemonsoya,0.0,0.0
61761,Peanut & Sesame Mix,0.0,0.0
61762,"Bubble Tea 0,3 l",0.0,0.0
61763,"Lychee Paradise 0,3 l",0.0,0.0
61764,"Coca Cola 0,33 l",0.0,0.0
61765,"Coca Cola Zero 0,33 l",0.0,0.0
61766,"Kurvand 0,33 l",0.0,0.0
61767,"Heated Seats 4,9% 0,33 l",0.0,0.0
61768,"Hallo Ich Bin Raspberry 3,7% 0,33 l",0.0,0.0
61769,"Iskold Classic 5,6% 0,5 l",0.0,0.0
61770,"Japanese Rice Lager 5,1% 0,5 l",0.0,0.0
61771,"Sapporo 4,7% 0,33 l",0.0,0.0
61772,"Asahi Super Dry 5,2% 0,33 l",0.0,0.0
61773,"Iki Ginger Beer 5,5% 0,33 l",0.0,0.0
61836,"Tsingtao 5.0% 0,33L",0.0,0.0
61904,"The Duo Menu (V,VG)",80.0,1.1648587130319978e-07
61908,"The Full Duo Menu (V, VG)",0.0,0.0
61915,Soup,0.0,0.0
61987,FROKOST: Mellem Salat,0.0,0.0
61989,Kylling Combo 1,207.0,3.0140719199702943e-07
62001,Kylling og kalvebacon,0.0,0.0
62002,Den græske,177.0,2.5772499025832954e-07
62003,Kylling Combo 2,356.0,5.183621272992391e-07
62006,Den italienske,59.0,8.590833008610984e-08
62007,Tunmousse,59.0,8.590833008610984e-08
62008,Kylling og avocado,59.0,8.590833008610984e-08
62011,Kyllingefilet,64.0,9.318869704255983e-08
62025,Kyllingelår,87.0,1.2667838504222977e-07
62026,Kyllingevinger,245.0,3.5673798086604935e-07
62027,Kyllingespyd,44.0,6.406722921675988e-08
62028,Rotisserie kylling,118.0,1.7181666017221969e-07
62029,Kylling Combo 3,297.0,4.324537972131292e-07
62032,Ovnstegte kartofler,44.0,6.406722921675988e-08
62036,Flødekartofler,88.0,1.2813445843351977e-07
62040,Lille salat,49.0,7.134759617320987e-08
62041,Mellem salat,0.0,0.0
62042,Stor salat,0.0,0.0
62235,Menu 1,0.0,0.0
62236,Menu 2,0.0,0.0
62237,Menu 3,0.0,0.0
62307,Samosa (2 stk.),141.0,2.0530634817188963e-07
62308,Chicken pakora (4 stk.),98.0,1.4269519234641975e-07
62309,Fish Pakora (4 stk.),0.0,0.0
62310,Chana chat,0.0,0.0
62311,Chicken chat,59.0,8.590833008610984e-08
62312,Shrimp chat,69.0,1.0046906399900981e-07
62314,Onion bhaji (4 stk.),0.0,0.0
62315,Vegetable pakora (6 stk.),0.0,0.0
62316,King prawn pakora (6 stk.),0.0,0.0
62317,Tandoori chicken,0.0,0.0
62318,Seekh kebab,69.0,1.0046906399900981e-07
62319,Kalmi kebab (2 stk.),0.0,0.0
62320,Pani puri (10 stk.),0.0,0.0
62323,Tomato soup,0.0,0.0
62324,Daal soup,0.0,0.0
62325,Chicken soup,0.0,0.0
62326,Daal garam masala,0.0,0.0
62330,Paneer chana masala,99.0,1.4415126573770973e-07
62331,Navaratan shahi korma,0.0,0.0
62332,Aloo gobi,0.0,0.0
62333,Malay kofta,0.0,0.0
62334,Bhindi masala,105.0,1.5288770608544972e-07
62336,Butter paneer,105.0,1.5288770608544972e-07
62337,Bhangan bharta,210.0,3.0577541217089944e-07
62338,Mushroom creamy,0.0,0.0
62339,Soyabean curry,0.0,0.0
62340,Kathal sabji,0.0,0.0
62341,Mix vegetables,0.0,0.0
62343,Chicken garam masala,0.0,0.0
62344,Chicken channa,125.0,1.8200917391124966e-07
62345,Chicken creamy,0.0,0.0
62346,Butter chicken,0.0,0.0
62347,Chicken shahi korma,0.0,0.0
62348,Chicken tikka masala,0.0,0.0
62349,Chicken vindaloo,0.0,0.0
62353,Chicken spinach,0.0,0.0
62354,Chicken mughali,0.0,0.0
62356,Fish garam masala,0.0,0.0
62357,Shrimp curry,0.0,0.0
62358,King prawn bhuna,0.0,0.0
62359,King prawn korma,0.0,0.0
62360,Butter prawn,0.0,0.0
62363,Vegetarian,0.0,0.0
62364,Lamb,0.0,0.0
62365,Chicken,0.0,0.0
62366,Shrimp,0.0,0.0
62367,Beef,0.0,0.0
62368,Lamb garam masala,0.0,0.0
62369,Lamb spinach,0.0,0.0
62370,Lam Roghan Josh,0.0,0.0
62371,Lamb alo,0.0,0.0
62372,Butter lamb,0.0,0.0
62373,Lamb tikka masala,0.0,0.0
62374,Lamb shahi korma,0.0,0.0
62375,Lamb vindaloo,0.0,0.0
62376,Lamb acharia,0.0,0.0
62378,Beef garam masala,0.0,0.0
62379,Beef koft masala,0.0,0.0
62380,Beef vindaloo,0.0,0.0
62381,Beef aloo,0.0,0.0
62382,Beef korma,0.0,0.0
62384,Rice pulao,84.0,1.2231016486835978e-07
62385,Chana pulao,116.0,1.689045133896397e-07
62387,Chappatthi,0.0,0.0
62388,Paratha,0.0,0.0
62389,Naan,0.0,0.0
62396,Raita,0.0,0.0
62397,Achaar,0.0,0.0
62398,Mango chutney,0.0,0.0
62399,Mint chutney,0.0,0.0
62400,Tamarind chutney,0.0,0.0
62401,Indian salad,0.0,0.0
62403,Børnemenu fisk,0.0,0.0
62404,Børnemenu kylling,0.0,0.0
62405,Børne chicken creamy,0.0,0.0
62406,Børne butter chicken,0.0,0.0
62407,Pommes frites,0.0,0.0
62409,Gulab jamun (2 stk.),0.0,0.0
62410,Kheer,0.0,0.0
62411,Halwa,0.0,0.0
62412,Gajar halwa,0.0,0.0
62413,Kulfi falooda,0.0,0.0
62415,Mix grill,0.0,0.0
62416,Lamb tikka,0.0,0.0
62417,Tandoori king prawns,0.0,0.0
62419,Egg ramyun,0.0,0.0
62420,Kimchi ramyun,0.0,0.0
62421,Hot ramyun,0.0,0.0
62422,Fried chowmin (vegetable),0.0,0.0
62423,Fried chowmin (kylling),0.0,0.0
62424,Fried chowmin (okse),0.0,0.0
62426,Crispy fried chicken wings (6 stk.),0.0,0.0
62427,Khangjung (6 stk.),0.0,0.0
62428,Chicken mo:mo (8 stk.),0.0,0.0
62429,Okse mo:mo,0.0,0.0
62430,Fried chicken mo:mo,0.0,0.0
62431,Fried okse mo:mo,0.0,0.0
62432,Chicken chilli,0.0,0.0
62434,Om rice (V),0.0,0.0
62435,Om rice (Chicken/Beef/Seafood),0.0,0.0
62440,Cheese donkass,0.0,0.0
62669,Wine and Dine,0.0,0.0
62719,Mango Lassi,29.0,4.2226128347409926e-08
62720,Lassi,0.0,0.0
62721,"Sodavand 1,5 L.",140.0,2.0385027478059963e-07
62729,Mint Tilbud,0.0,0.0
62730,Mint Tilbud Stor,0.0,0.0
62732,"Pappadam (G, V)",20.0,2.9121467825799945e-08
62733,Vegetar Samosa (V),39.0,5.6786862260309894e-08
62734,Seekh kebab (G),0.0,0.0
62735,Malai chicken tikka (G),0.0,0.0
62736,Fish pakora,138.0,2.0093812799801962e-07
62737,"Onion bhaji rings (G, V)",39.0,5.6786862260309894e-08
62738,Samosa chaat with chana (V),0.0,0.0
62739,King prawn pakora (G),0.0,0.0
62740,Soup,0.0,0.0
62746,India Royale chicken (G),0.0,0.0
62747,Butter chicken (G),0.0,0.0
62748,Chicken korma (G),0.0,0.0
62749,Hot Spicy Chicken (G),0.0,0.0
62750,Chicken Tikka Masala (G),0.0,0.0
62751,Goan chicken (G),0.0,0.0
62752,Mango chicken (G),0.0,0.0
62754,India Royale Lamb (G),0.0,0.0
62755,Saag lamb (G),0.0,0.0
62756,Hot Spicy Lamb (G),0.0,0.0
62757,Lamb Tikka Masala (G),0.0,0.0
62758,Lamb Curry,0.0,0.0
62760,Tarka Dal (G),0.0,0.0
62761,Palak Paneer (G),0.0,0.0
62762,Aubergine Bharta (G),0.0,0.0
62763,Aloo gobi matar (G),0.0,0.0
62764,Paneer Butter Masala (G),0.0,0.0
62766,Biryani (G),0.0,0.0
62772,Plain naan,0.0,0.0
62773,Butter naan,0.0,0.0
62774,Garlic naan,0.0,0.0
62775,Aloo naan,0.0,0.0
62776,Paneer naan,0.0,0.0
62778,Nuggets og pommes frites,0.0,0.0
62779,Mild butter chicken med ris (G),0.0,0.0
62781,Mango Chutney,0.0,0.0
62782,Stegte ris med ærter,0.0,0.0
62783,Mint Chutney,0.0,0.0
62784,Chili chutney,0.0,0.0
62785,Raita,0.0,0.0
62787,Cobra,0.0,0.0
62794,Kingfisher,0.0,0.0
62860,Unspecified,0.0,0.0
62933,Unspecified,0.0,0.0
62981,Pulao Ris,0.0,0.0
63067,Margherita (V),120.0,1.747288069547997e-07
63068,Pepperoni,69.0,1.0046906399900981e-07
63069,Prosciutto,0.0,0.0
63070,Capricciosa,0.0,0.0
63071,Francese,75.0,1.092055043467498e-07
63072,Carbonara,0.0,0.0
63073,Bolognese,0.0,0.0
63074,Genovese (V),0.0,0.0
63075,Parmegiana (V),0.0,0.0
63076,Paesana,75.0,1.092055043467498e-07
63077,Napoletana,85.0,1.2376623825964979e-07
63078,Salamella,0.0,0.0
63079,Quattro formaggi (V),85.0,1.2376623825964979e-07
63080,Parma,0.0,0.0
63081,Bresaola,85.0,1.2376623825964979e-07
63083,Gustosa,0.0,0.0
63084,Salsiccia,0.0,0.0
63085,Tartufo (V),0.0,0.0
63086,Patate & Bacon,85.0,1.2376623825964979e-07
63087,Italiana (V),0.0,0.0
63089,Bufala (V),0.0,0.0
63090,Tonno,0.0,0.0
63091,Mantovana,90.0,1.3104660521609975e-07
63092,Contadina,95.0,1.3832697217254974e-07
63093,Salmone,0.0,0.0
63094,Frutti di mare,0.0,0.0
63095,Porcini,0.0,0.0
63096,Vegetariana (V),0.0,0.0
63097,Tre funghi (V),0.0,0.0
63098,Calzone (indbagt),0.0,0.0
63127,Margherita (V),0.0,0.0
63131,Pepperoni,483.0,7.032834479930687e-07
63132,Prosciutto,138.0,2.0093812799801962e-07
63133,Capricciosa,0.0,0.0
63134,Francese,0.0,0.0
63135,Carbonara,0.0,0.0
63136,Bolognese,0.0,0.0
63137,Genovese (V),75.0,1.092055043467498e-07
63138,Parmegiana (V),0.0,0.0
63139,Paesana,75.0,1.092055043467498e-07
63140,Napoletana,0.0,0.0
63141,Salamella,0.0,0.0
63142,Quattro formaggi (V),85.0,1.2376623825964979e-07
63143,Parma,0.0,0.0
63144,Bresaola,0.0,0.0
63145,Tonno,170.0,2.4753247651929957e-07
63148,Salsiccia,170.0,2.4753247651929957e-07
63149,Tartufo (V),85.0,1.2376623825964979e-07
63150,Patate & Bacon,0.0,0.0
63151,Bufala (V),85.0,1.2376623825964979e-07
63152,Mantovana,0.0,0.0
63153,Contadina,0.0,0.0
63154,Porcini,0.0,0.0
63180,Kylling,110.0,1.601680730418997e-07
63181,Skinke,0.0,0.0
63182,Parmaskinke,60.0,8.736440347739985e-08
63183,Bresaola,0.0,0.0
63184,Stærk Salami,0.0,0.0
63185,Grillede Peberfrugt,0.0,0.0
63186,Tun + Oliven,0.0,0.0
63191,Tiramisu,0.0,0.0
63192,Grom Gelato,0.0,0.0
63195,Cannoli,0.0,0.0
63454,Unspecified,0.0,0.0
64297,Øl,270.0,3.931398156482993e-07
64353,Unspecified,0.0,0.0
64648,Milk & honey,30.0,4.368220173869992e-08
64649,Hot chocolate,0.0,0.0
64650,Pukka tea,0.0,0.0
64651,Chai latte,0.0,0.0
64654,Espresso,25.0,3.640183478224993e-08
64657,Americano,0.0,0.0
64658,Cafe Latte,0.0,0.0
64659,Cappuccino,0.0,0.0
64660,Filter coffee,0.0,0.0
64661,Flat White,78.0,1.1357372452061979e-07
64662,Cortado,0.0,0.0
64663,Iced coffee,0.0,0.0
64664,Coffee shake,0.0,0.0
64665,Caramel or Vanilla latte,0.0,0.0
64680,Milk & honey,0.0,0.0
64681,Babyccino,0.0,0.0
64682,Hot chocolate,35.0,5.096256869514991e-08
64684,Soft Drinks,0.0,0.0
64690,Still water,0.0,0.0
64692,Chocolate milk,0.0,0.0
64693,Organic juice,38.0,5.53307888690199e-08
64694,Beer 33cl,0.0,0.0
64695,Wine Gl.,0.0,0.0
64696,Wine btl.,0.0,0.0
64699,Ice Cream Milkshake,0.0,0.0
64704,Very Berry - Smoothie,0.0,0.0
64705,Bananarama - Smoothie,0.0,0.0
64706,Mango Mambo - Smoothie,0.0,0.0
64707,Daily Greens - Fresh Juice,147.0,2.140427885196296e-07
64708,Mint Condition - Fresh Juice,0.0,0.0
64709,Vitaliser - Fresh Juice,147.0,2.140427885196296e-07
64710,Veggie Breakfast (V),98.0,1.4269519234641975e-07
64724,Croissant,112.0,1.630802198244797e-07
64725,Toast/roll w. butter & jam or cheese,28.0,4.077005495611992e-08
64726,Salmon & Eggs,0.0,0.0
64727,Avo & Eggs (V),0.0,0.0
64728,Oatmeal Bowl (V),0.0,0.0
64729,Yogurt Bowl (V),0.0,0.0
64730,Acai Bowl (V),75.0,1.092055043467498e-07
64732,Create your own plate - 3 items,35.0,5.096256869514991e-08
64733,Create your own plate - 5 items,100.0,1.4560733912899973e-07
64754,Peanut butter sandwich,0.0,0.0
64755,Oatmeal bowl,0.0,0.0
64756,Wholewheat pasta,0.0,0.0
64757,Pasta Bolognese,0.0,0.0
64759,Tricolore Wrap (V),0.0,0.0
64760,Chilli Bean Wrap (V),82.0,1.1939801808577977e-07
64761,Superfood Wrap (V),0.0,0.0
64762,Tuna Wrap,0.0,0.0
64763,Chicken & Bacon Wrap,0.0,0.0
64764,Quesadilla (V),178.0,2.5918106364961954e-07
64767,Avocado Toast,0.0,0.0
64768,Salmon & Avocado Toast,0.0,0.0
64769,Feta & Avocado Toast (V),0.0,0.0
64770,Club Sandwich,178.0,2.5918106364961954e-07
64771,Tuna Melt,0.0,0.0
64772,Mozzarella Melt (V),0.0,0.0
64773,Cheese Toastie (V),0.0,0.0
64778,Moroccan Bowl (V),0.0,0.0
64779,Superfood Bowl,0.0,0.0
64780,Salmon Teriyaki Bowl,0.0,0.0
64781,Pasta Bolognese,190.0,2.766539443450995e-07
64782,Fries,30.0,4.368220173869992e-08
64811,Unspecified,0.0,0.0
65312,Vegan Pakoda (V),0.0,0.0
65313,Momo,0.0,0.0
65314,Samosa,0.0,0.0
65315,Daal Tarka,0.0,0.0
65316,Palak Paneer,0.0,0.0
65317,Vegan Curry,0.0,0.0
65318,Homestyle Chicken Curry,0.0,0.0
65319,Chicken Tikka Masala,0.0,0.0
65320,Butter Chicken,0.0,0.0
65321,Lamb Saag,0.0,0.0
65322,Spicy Lamb Curry,0.0,0.0
65323,Lamb Korma,0.0,0.0
65324,Everest Chicken,0.0,0.0
65325,Lamb Grill Tikka,0.0,0.0
65326,Spicy Grilled Chicken,0.0,0.0
65327,Chicken Biryani,0.0,0.0
65328,Lamb Biryani,0.0,0.0
65329,Prawn Biryani,0.0,0.0
65330,Butter Naan,0.0,0.0
65331,Garlic Naan,0.0,0.0
65332,Mango Chutney,0.0,0.0
65333,Raita,0.0,0.0
65334,Mango Lassi,0.0,0.0
65341,Power Full,0.0,0.0
65342,Fresh Me Up,0.0,0.0
65343,Iron Man,0.0,0.0
65344,Fiber Active,50.0,7.280366956449987e-08
65345,Alcohol Free,0.0,0.0
65351,Strawberry,0.0,0.0
65354,Banana Strawberry,0.0,0.0
65355,Mix,0.0,0.0
65356,Mango Banana,0.0,0.0
65357,Kiwi Fruit,0.0,0.0
65358,Orange,0.0,0.0
65359,Apple,0.0,0.0
65360,Ginger,0.0,0.0
65361,Raspberry,0.0,0.0
65362,Apricot,0.0,0.0
65363,Grape,0.0,0.0
65364,Raisin,0.0,0.0
65365,Dadler,0.0,0.0
65366,Tamer Hindi,0.0,0.0
65367,Melon,0.0,0.0
65368,Watermelon,0.0,0.0
65369,Ananas,0.0,0.0
65370,Pomergranate,0.0,0.0
65371,Pear,0.0,0.0
65372,Lemon with Milk,80.0,1.1648587130319978e-07
65374,Vanilla,0.0,0.0
65375,Strawberry,0.0,0.0
65376,Chocolate,0.0,0.0
65377,Oreo,0.0,0.0
65378,Kinder Bueno,0.0,0.0
65379,Topix,0.0,0.0
65380,Knopper,0.0,0.0
65381,Bueno,0.0,0.0
65382,Peach,0.0,0.0
65383,Mango,0.0,0.0
65384,Mars,0.0,0.0
65385,Lemon,0.0,0.0
65386,Avocado,0.0,0.0
65387,Melon,0.0,0.0
65388,Watermelon,0.0,0.0
65390,Fruit Salad,0.0,0.0
