item_id,item_name,profit,profit_price_up,profit_cost_down
59908,Nødder,377.0,395.85,377.0
59911,Artichoke,0.0,0.0,0.0
59913,Potatos,205.92,216.21599999999998,205.92
59927,Sandwich,0.0,0.0,0.0
61516,Unspecified,0.0,0.0,0.0
61533,Unspecified,0.0,0.0,0.0
61805,Unspecified,0.0,0.0,0.0
61858,Unspecified,0.0,0.0,0.0
61921,Superjuice,0.0,0.0,0.0
62107,Unspecified,0.0,0.0,0.0
62306,Papadum (3 stk.),504.0,529.2,504.0
63679,Unspecified,0.0,0.0,0.0
65543,Soya,416.0,436.8,416.0
65544,Gomadressing,228.0,239.40000000000003,228.0
65545,Ginger,488.0,512.4,488.0
65547,Wasabi,416.0,436.8,416.0
66002,Unspecified,0.0,0.0,0.0
66637,Americano,286.0,300.3,286.0
66640,Cookies,375.0,393.75,375.0
66644,GLEAN Flødebolle,62.0,65.10000000000001,62.0
66646,Chai Latte,385.0,404.25,385.0
66647,Frisk Mynte Te,500.0,525.0,500.0
66664,friskpresset appelsin,228.0,239.40000000000003,228.0
66666,"Blanc 1664, 5%",396.0,415.80000000000007,396.0
66670,Økologisk Classic,512.0,537.6,512.0
66673,Stevii Soda,418.0,438.9,418.0
67225,Biodynamisk saft fra Voelkel,455.0,477.75,455.0
67292,Unspecified,0.0,0.0,0.0
79855,Classic burger,96.0,100.80000000000001,96.0
79856,Chicken Burger,60.0,63.00000000000001,60.0
84484,Kinrin Ichiban (33 cl.),495.0,519.75,495.0
87612,Tuna with mango,405.0,425.25,405.0
94569,Oats of Disobedience (5.3%),440.0,462.0,440.0
94846,Croissant Box,495.0,519.75,495.0
97255,Tuborg Grøn,330.0,346.5,330.0
104219,Kimchee,490.0,514.5,490.0
152963,Extra,400.0,420.0,400.0
173067,Brune ris,150.0,157.5,150.0
173069,Bruneris,105.0,110.25,105.0
173074,cashew,500.0,525.0,500.0
173081,Poser,160.0,168.0,160.0
173519,ekstra æg,370.0,388.5,370.0
173521,Ekstra Topping,105.0,110.25,105.0
173571,StegteRis,275.0,288.75,275.0
173573,cashew,280.0,294.0,280.0
173578,Ekstra Topping,195.0,204.75,195.0
173583,Vand,195.0,204.75,195.0
173584,Lille soda,500.0,525.0,500.0
173586,Stor sodavand,455.0,477.75,455.0
178332,Chill tops,275.0,288.75,275.0
216015,Extra avocado,330.0,346.5,330.0
216016,Extra butter or Jam,295.0,309.75,295.0
216017,Extra cheese,217.0,227.85000000000002,217.0
217154,Extra bacon( 1 pcs),364.0,382.20000000000005,364.0
229725,Chips,180.0,189.0,180.0
282637,Dip,384.0,403.20000000000005,384.0
283897,Cortado,374.0,392.70000000000005,374.0
284407,Cocio,260.0,273.0,260.0
284410,Booster,483.0,507.15000000000003,483.0
284414,Gazoz,320.0,336.0,320.0
284416,Heiniken,238.0,249.9,238.0
284417,Royal Export,252.0,264.6,252.0
284420,Royal pilsner,252.0,264.6,252.0
284433,Små 4 Stk Cones,400.0,420.0,400.0
284434,Stor 4 Stk Cones,330.0,346.5,330.0
284440,Mascotte Filter,390.0,409.5,390.0
286821,Extra Toppings 1,396.0,415.80000000000007,396.0
286823,Toppings 2,375.0,393.75,375.0
287057,Ekstra fyld - vegetar,450.0,472.5,450.0
287061,Chili i bæger,147.0,154.35000000000002,147.0
287062,Hvidløg i bæger,175.0,183.75,175.0
287063,Udbringning - indenfor,280.0,294.0,280.0
287880,Sodavand,286.0,300.3,286.0
288372,Lighter,380.0,399.0,380.0
292496,Kylling spyd  1 stk.,375.0,393.75,375.0
292541,Juice 25 cl.,420.0,441.0,420.0
292543,Vand (kande) / pr person,300.0,315.0,300.0
296733,"Heineken 0,5",286.0,300.3,286.0
306789,Unspecified,0.0,0.0,0.0
306875,Unspecified,0.0,0.0,0.0
306944,Unspecified,0.0,0.0,0.0
306947,Unspecified,0.0,0.0,0.0
306986,Unspecified,0.0,0.0,0.0
311980,Unspecified,0.0,0.0,0.0
316234,Unspecified,0.0,0.0,0.0
317246,Kande the,420.0,441.00000000000006,420.0
319945,Unspecified,0.0,0.0,0.0
320590,Unspecified,0.0,0.0,0.0
323025,Unspecified,0.0,0.0,0.0
323472,Laks m/avocado,513.0,538.65,513.0
323474,Tigerrejer,380.0,399.0,380.0
323479,Flamberet tun med teriyaki sauce,312.0,327.6,312.0
323480,Ål,459.0,481.95000000000005,459.0
323483,Omelet,460.0,483.0,460.0
323583,Laks i teriyaki sauce,476.0,499.80000000000007,476.0
323589,Gedeost Med Bacon,352.0,369.6,352.0
323591,Ris,352.0,369.6,352.0
323598,​Coca cola - 50 cl,418.0,438.9,418.0
323617,Cacao mælk​,264.0,277.20000000000005,264.0
323618,Isvand​,180.0,189.0,180.0
323620,Kirin - 33 cl,455.0,477.75,455.0
323621,Sapporo - 33 cl,385.0,404.25,385.0
324798,Unspecified,0.0,0.0,0.0
324839,Hot dog - 30kr.,330.0,346.5,330.0
324841,Brød,80.0,84.0,80.0
324847,Kaffe,495.0,519.75,495.0
327901,Teriaky sauce,250.0,262.5,250.0
328101,Vand ad libitum pr. person,180.0,189.0,180.0
329099,Vodka,460.0,483.0,460.0
331126,Unspecified,0.0,0.0,0.0
334316,Unspecified,0.0,0.0,0.0
335013,Espressoshot,108.0,113.4,108.0
335014,Sirup,165.0,173.25,165.0
335364,Rabat,-850.0,-892.5,-850.0
338411,Unspecified,0.0,0.0,0.0
340446,Unspecified,0.0,0.0,0.0
340563,CHILI SAUCE BÆGER,190.0,199.5,190.0
340565,HVIDLØG I BÆGER,65.0,68.25,65.0
340567,KØD/OST,154.0,161.70000000000002,154.0
340572,Fanta 0.3L,275.0,288.75,275.0
343776,Tofu,400.0,420.0,400.0
343780,Grillet Tun Nigiri,420.0,441.00000000000006,420.0
343783,Avocado Nigiri,340.0,357.0,340.0
343806,Wasabi,150.0,157.5,150.0
343807,Ingefær,110.0,115.5,110.0
343810,Teriyaki,440.0,462.0,440.0
343812,Goma Dressing,450.0,472.5,450.0
343817,Sushi Ris,400.0,420.0,400.0
347837,Unspecified,0.0,0.0,0.0
348384,Alm. Øl,425.0,446.25,425.0
350407,Unspecified,0.0,0.0,0.0
352629,Unspecified,0.0,0.0,0.0
352702,Unspecified,0.0,0.0,0.0
352807,Kildevand,495.0,519.75,495.0
352809,Soda 0.5L,500.0,525.0,500.0
353839,Agurkesalat eller Hvidløgdressing,112.0,117.60000000000001,112.0
353842,Champignon eller pepperoni,504.0,529.2,504.0
353845,Bearnaise sauce,400.0,420.0,400.0
353847,Kyllingekød eller Smårejer eller kødsauce,330.0,346.5,330.0
353910,BLANDET SALAT,429.0,450.45,429.0
353918,PITA med tun,440.0,462.0,440.0
355210,Unspecified,0.0,0.0,0.0
356871,Unspecified,0.0,0.0,0.0
357119,Pant,21.0,22.05,21.0
359111,Unspecified,0.0,0.0,0.0
363759,Unspecified,0.0,0.0,0.0
363828,COCKTAILSAUCE,232.0,243.60000000000002,232.0
363830,SALSA,290.0,304.5,290.0
363831,CREME FRAICHE,230.0,241.5,230.0
363917,Juice,350.0,367.5,350.0
