antecedent,consequent,support,confidence,lift
Pølser,Bacon,0.1945669986133871,1.0,3.2964886765011427
Pølser,Skinke,0.1945669986133871,1.0,3.394522892597347
Tacosauce,Champignon,0.19009202067313752,1.0,2.8957839021719294
Tacosauce,Løg,0.19009202067313752,1.0,2.8836786623046162
Majs,Ananas,0.27335182150510523,0.9983885819521177,2.8592839785653967
Pølser,Ananas,0.19425185932182024,0.9983803045027535,2.8592602727871275
Kødsauce,Champignon,0.30253371990419764,0.9950248756218906,2.8813770170864967
Oksefilet,Champignon,0.19916803227026345,0.9943360604153555,2.8793823570998414
Oksefilet,Kebab,0.19916803227026345,0.9943360604153555,2.971023716487765
Spaghetti,Løg,0.28602042102609354,0.9893176367996512,2.8528741594807827
Majs,Champignon,0.27064162359763017,0.9884898710865562,2.862453056152455
Artiskok,Gorgonzola,0.1851758477246943,0.9882273797510931,3.181659011187265
Æg,Rejer,0.18189839909239883,0.9876796714579055,3.2914357629386948
Æg,Løg,0.18183537123408547,0.987337440109514,2.847163908538268
Æg,Kebab,0.18177234337577208,0.9869952087611225,2.949089638833139
Oksefilet,Ost,0.19765536367074246,0.986784140969163,2.7313882031780774
Majs,Løg,0.2700113450144964,0.9861878453038674,2.843848846526928
Oksefilet,Ananas,0.19727719652086223,0.9848961611076149,2.8206430491215553
Oksefilet,Løg,0.19727719652086223,0.9848961611076149,2.840124044371759
Tomat,Ost,0.17679314256901552,0.9824868651488617,2.719493475654543
Oliven,Champignon,0.2593596369595361,0.9821002386634845,2.843950061440928
Artiskok,Champignon,0.1839152905584268,0.9815001681802892,2.8422123869955227
Artiskok,Løg,0.1839152905584268,0.9815001681802892,2.8303310920298923
Tacosauce,Ananas,0.18656246060758855,0.9814323607427056,2.8107230750079
Agurk,Salat,0.15114080423547208,0.9807770961145194,3.9098013585308955
Spaghetti,Champignon,0.28349930669355855,0.9805973403095706,2.8395979925810635
Agurk,Jalapenos,0.15107777637715872,0.9803680981595093,3.121517207585546
Champignon,Løg,0.337766292701374,0.9780981931009307,2.8205208890838542
